id,smiles,score_1xq8,winner_var_1xq8,plif_1xq8,score_receptor_01,winner_var_receptor_01,plif_receptor_01,score_receptor_02,winner_var_receptor_02,plif_receptor_02,score_receptor_03,winner_var_receptor_03,plif_receptor_03,score_receptor_04,winner_var_receptor_04,plif_receptor_04,score_receptor_05,winner_var_receptor_05,plif_receptor_05,score_receptor_06,winner_var_receptor_06,plif_receptor_06,score_receptor_07,winner_var_receptor_07,plif_receptor_07,score_receptor_08,winner_var_receptor_08,plif_receptor_08,score_receptor_09,winner_var_receptor_09,plif_receptor_09,score_receptor_10,winner_var_receptor_10,plif_receptor_10,score_we_mean,plif_we_mean,SC1,SC2,SC3,SC4
0,CN1CCCN(S(=O)(=O)c2ccnc3ccccc23)CC1,-3.596,0,0.0,-3.585,0,0.0,-3.929,0,0.4095942669158417,-3.492,0,0.29562759664540444,-4.145,0,0.42593479234559134,-3.212,1,0.29562759664540444,-3.658,1,0.44575958500009144,-2.97,0,0.5453773437325409,-3.751,1,0.2133762847062433,-3.325,1,0.5812903658345812,-3.326,1,0.14586538590177534,-3.4906402,0.35917111966394344,3.596,3.4906402,3.596,4.56815355899183
1,CN1CCN(S(=O)(=O)c2ccnc3ccccc23)CC1,-5.004,0,0.0,-5.106,0,0.0,-5.549,0,0.24308094742570194,-4.431,0,0.27023158120058327,-5.112,0,0.31196812207515406,-4.374,0,0.29562759664540444,-4.814,1,0.5453773437325409,-4.193,0,0.16001980012575756,-4.696,0,0.23594414598879124,-4.627,0,0.18273554373872286,-4.544,0,0.0,-4.748963799999999,0.24390467166715346,5.004,4.748963799999999,5.004,5.48067781500146
2,NC1CCN(S(=O)(=O)c2ccnc3ccccc23)C1,-4.916,0,0.0,-4.931,0,0.0,-5.464,0,0.24308094742570194,-4.476,1,0.3769132160563425,-4.932,1,0.31293143120110456,-4.57,0,0.27023158120058327,-4.796,0,0.15433377566899292,-4.161,0,0.31196812207515406,-4.704,0,0.35965441028732176,-4.753,1,0.1668104612756761,-5.098,0,0.0,-4.742877000000001,0.21197981583256267,4.916,4.742877000000001,4.916,5.378816447497689
3,NC1CCN(S(=O)(=O)c2ccnc3ccccc23)CC1,-5.375,1,0.0238960495699234,-4.977,1,0.0,-5.086,0,0.4180734242513167,-4.511,1,0.09884769969545669,-4.792,0,0.25082893789750677,-4.577,1,0.27023158120058327,-4.794,1,0.19085564714450065,-4.475,1,0.36895172338210314,-4.945,0,0.2078166063305435,-4.993,1,0.18273554373872286,-4.576,1,0.0,-4.775028700000001,0.21891524414294122,5.375,4.775028700000001,5.44668814870977,5.431774432428824
4,O=S(=O)(NC1CCNCC1)c1ccnc2ccccc12,-4.913,1,0.0012425148500565144,-5.322,1,0.061136797108655494,-5.468,0,0.3318937543511865,-4.824,1,0.027660853878532777,-5.487,0,0.21341900006682774,-4.623,0,0.22586050243666447,-5.082,0,0.34798721018903767,-4.613,1,0.23834472016708558,-4.832,0,0.2133762847062433,-5.15,0,0.15343855964472095,-4.995,0,0.21318880808891047,-5.0367287,0.20623109773513348,4.913,5.0367287,4.91672754455017,5.655421993205401
5,O=S(=O)(c1cccc2ccccc12)N1CCCNCC1,-3.967,0,0.0,-3.799,0,0.0,-4.414,0,0.2687367410049923,-3.434,1,0.11616930392816267,-3.736,1,0.25082893789750677,-3.489,1,0.2792870712156548,-3.918,0,0.32648801958607043,-3.483,0,0.40173289882156704,-3.682,0,0.19085564714450065,-3.415,1,0.3246387929932234,-3.864,1,0.0,-3.7093434000000003,0.24635673948381995,3.967,3.7093434000000003,3.967,4.44841361845146
6,O=S(=O)(c1cccc2cccnc12)N1CCCNCC1,-4.023,1,0.0,-3.613,1,0.0,-4.038,1,0.2041091168525095,-3.284,0,0.3303012037189253,-3.359,1,0.30044721347068337,-3.27,1,0.31196812207515406,-3.707,1,0.22477756551658631,-3.176,1,0.0,-3.606,0,0.2133762847062433,-3.355,1,0.27449920459635196,-2.969,0,0.11021178107482577,-3.4761641000000005,0.18675411810690257,4.023,3.4761641000000005,4.023,4.036426454320708
7,O=S(=O)(c1cccc2ncccc12)N1CCCNCC1,-3.607,1,0.024968435460842278,-3.518,1,0.0786466438179614,-4.207,1,0.34064243381005255,-3.511,1,0.24192275275261885,-3.857,1,0.36895172338210314,-3.246,1,0.35479684803403483,-3.404,0,0.24192275275261885,-3.261,1,0.14113773938900492,-3.633,0,0.23298041948695433,-3.515,1,0.2792870712156548,-3.106,1,0.0,-3.5177504,0.24263961024940475,3.607,3.5177504,3.681905306382527,4.245669230748215
8,O=S(=O)(c1cccc2ncccc12)N1CCNCC1,-5.071,0,0.0011503039028698228,-4.802,1,0.0,-5.267,0,0.29686428066324005,-4.815,1,0.2133762847062433,-5.379,0,0.36895172338210314,-4.431,1,0.31196812207515406,-4.805,1,0.2634219433555862,-4.21,0,0.1262414641096816,-4.78,0,0.1726350157999752,-4.94,0,0.2133762847062433,-4.415,0,0.033499741416614784,-4.765592600000001,0.20940340489505369,5.071,4.765592600000001,5.07445091170861,5.393802814685162
9,O=S(=O)(c1ccnc2ccc(Cl)cc12)N1CCCNCC1,-3.835,1,0.03486256182513408,-3.689,1,0.0,-3.928,0,0.32541564893152564,-3.397,0,0.1928360716774705,-4.033,0,0.30044721347068337,-3.343,0,0.3769132160563425,-3.595,1,0.24192275275261885,-3.034,1,0.29931888736157664,-3.864,0,0.2078166063305435,-3.384,1,0.22586050243666447,-3.476,1,0.0,-3.5213392000000003,0.23950474200382166,3.835,3.5213392000000003,3.939587685475402,4.239853426011465
10,O=S(=O)(c1ccnc2ccccc12)N1CCC1,-4.465,0,0.0,-4.513,0,0.07179272660723157,-4.85,0,0.3318937543511865,-4.156,0,0.27023158120058327,-4.85,0,0.4844101046632693,-4.154,0,0.27757635757956844,-4.259,0,0.44575958500009144,-4.059,0,0.16839390242018937,-4.192,0,0.22586050243666447,-4.328,0,0.18273554373872286,-4.427,0,0.0,-4.3631196,0.2619446812435903,4.465,4.3631196,4.465,5.148953643730771
11,O=S(=O)(c1ccnc2ccccc12)N1CCC2(CCNCC2)C1,-5.632,1,0.0,-5.486,1,0.0,-6.035,0,0.24308094742570194,-5.225,0,0.27023158120058327,-5.343,0,0.35479684803403483,-5.306,1,0.1668104612756761,-5.628,0,0.1668104612756761,-4.851,0,0.2560771669766011,-5.499,0,0.19085564714450065,-5.246,0,0.18797674396402764,-5.119,0,0.30410675398087944,-5.3845035999999995,0.18668221042584304,5.632,5.3845035999999995,5.632,5.944550231277528
12,O=S(=O)(c1ccnc2ccccc12)N1CCCC(N2CCNCC2)C1,-5.761,2,0.0,-5.722,1,0.018440569252355186,-6.116,3,0.2799033214771972,-5.473,3,0.124366195298808,-5.825,3,0.23834472016708558,-5.566,1,0.34798721018903767,-5.821,2,0.1726350157999752,-5.087,2,0.09811392445143384,-5.54,2,0.22586050243666447,-5.797,3,0.09023329585958677,-5.994,3,0.007851751801524339,-5.658975400000001,0.16870448093958382,5.761,5.658975400000001,5.761,6.1650888428187525
13,O=S(=O)(c1ccnc2ccccc12)N1CCCC1,-4.729,0,0.0,-4.791,0,0.07179272660723157,-5.028,0,0.1928360716774705,-4.352,0,0.27023158120058327,-5.294,0,0.35479684803403483,-4.576,0,0.27023158120058327,-4.53,0,0.32648801958607043,-4.246,0,0.2560771669766011,-4.384,0,0.35965441028732176,-4.831,0,0.1668104612756761,-4.614,0,0.0,-4.6707744,0.2306893984691221,4.729,4.6707744,4.729,5.362842595407367
14,O=S(=O)(c1ccnc2ccccc12)N1CCCCC1,-4.904,0,0.0,-4.664,0,0.0,-5.549,0,0.29686428066324005,-4.573,0,0.23834472016708558,-5.14,0,0.31196812207515406,-4.379,0,0.23834472016708558,-4.682,0,0.3769132160563425,-4.297,0,0.27023158120058327,-4.581,0,0.22586050243666447,-4.693,0,0.1668104612756761,-4.516,0,0.23834472016708558,-4.6933156,0.22860814259316015,4.904,4.6933156,4.904,5.3791400277794805
15,O=S(=O)(c1ccnc2ccccc12)N1CCCNC(CO)C1,-3.819,1,0.0,-4.058,0,0.007851751801524339,-4.37,1,0.26852320352850206,-3.695,1,0.2133762847062433,-3.651,0,0.2687367410049923,-3.654,0,0.4751127915684878,-3.817,0,0.15759017664949848,-2.998,1,0.39718863834447005,-3.804,0,0.1726350157999752,-3.577,0,0.24967952183112735,-3.905,1,0.012484217730421139,-3.7206959000000004,0.2538878941560457,3.819,3.7206959000000004,3.819,4.4823595824681375
16,O=S(=O)(c1ccnc2ccccc12)N1CCCNCCC1,-3.477,0,0.03227530111987651,-3.451,0,0.0786466438179614,-3.924,1,0.3194095366207654,-3.244,1,0.3303012037189253,-3.432,1,0.22586050243666447,-3.244,1,0.35479684803403483,-3.475,1,0.2133762847062433,-3.119,0,0.23834472016708558,-3.646,0,0.18797674396402764,-3.217,1,0.34962646355051424,-3.562,1,0.022333160944409854,-3.3823540000000003,0.25324064746390773,3.477,3.3823540000000003,3.5738259033596296,4.142075942391724
17,O=S(=O)(c1ccnc2ccccc12)N1CCNCC1,-5.219,0,0.0012425148500565144,-4.992,1,0.0,-5.592,1,0.24308094742570194,-4.851,1,0.21318880808891047,-5.547,1,0.36895126225801705,-4.328,1,0.36895126225801705,-5.046,1,0.34798721018903767,-4.537,1,0.21318880808891047,-4.699,1,0.3289264367461041,-4.791,0,0.18273554373872286,-4.557,0,0.20202222761670557,-4.895111100000001,0.23684736579053367,5.219,4.895111100000001,5.22272754455017,5.605653197371602
18,O=S(=O)(c1ccnc2ccccc12)N1CCOCC1,-4.807,0,0.0,-5.064,0,0.0786466438179614,-5.068,0,0.4180734242513167,-4.357,0,0.27023158120058327,-4.858,0,0.4095942669158417,-4.412,0,0.31196812207515406,-4.614,0,0.44575958500009144,-4.171,0,0.184734427849939,-4.373,0,0.24192275275261885,-4.736,0,0.20202222761670557,-4.811,0,0.0,-4.6502168,0.27659034924375486,4.807,4.6502168,4.807,5.479987847731264
19,O=S(=O)(c1cnc2ccccc2c1)N1CCCNCC1,-3.743,1,0.0,-3.478,1,0.08694734397922892,-3.825,1,0.34064243381005255,-3.403,0,0.3769132160563425,-3.644,0,0.3769132160563425,-3.233,0,0.17982720514366088,-3.673,0,0.32648801958607043,-3.268,0,0.40173289882156704,-3.576,0,0.24192275275261885,-3.777,1,0.21318880808891047,-3.414,0,0.36895172338210314,-3.5152922,0.2707997146123906,3.743,3.5152922,3.743,4.327691343837172
